bioguide_id,last_H_congress,first_S_congress
B000575,111,112
B000944,109,110
B001135,108,109
B001230,111,113
B001236,111,112
C000141,109,110
C000286,107,108
C001047,113,114
C001075,113,114
C001095,113,114
D000595,108,109
D000607,111,113
D000618,113,114
F000444,111,113
G000359,107,108
G000555,110,111
G000562,113,114
H001041,111,112
H001042,111,113
H001046,111,113
K000360,110,112
L000575,113,114
M000133,112,113
M000639,108,109
M000934,111,112
M001169,111,113
P000595,113,114
S000033,109,110
S001078,107,108
T000250,107,109
T000461,108,112
U000038,110,111
U000039,110,111
V000127,108,109
W000437,109,110
