frame,word,t_pre_occ,t_post_occ,c_pre_occ,c_post_occ,min_period_occ,in_range
Beneficial,ability,42,309,135,319,177,False
Beneficial,build,19,192,88,187,107,False
Beneficial,legitimate,10,90,51,115,61,False
Beneficial,gain,15,47,30,61,45,False
Beneficial,hardworking,11,67,23,83,34,False
Beneficial,contribution,7,31,19,31,26,False
Crime,criminal,21,276,197,432,218,False
Crime,detention,23,170,103,270,126,False
Crime,arrest,24,61,53,56,77,False
Crime,prosecution,6,50,61,82,67,False
Crime,prosecute,6,62,33,74,39,False
Crime,detain,11,33,23,23,34,False
Crime,smuggling,6,59,27,121,33,False
Crime,smuggle,8,9,23,42,31,False
Crime,capture,7,24,12,32,19,False
Culture,foreign,77,531,255,712,332,False
Culture,language,27,323,151,255,178,False
Culture,citizenship,10,218,106,219,116,False
Culture,heritage,10,52,72,62,82,False
Culture,citizen,14,248,50,135,64,False
Culture,race,9,73,45,49,54,False
Culture,tradition,22,52,29,53,51,False
Culture,culture,10,67,36,32,46,False
Culture,diverse,6,38,24,30,30,False
Economic,funding,110,372,516,1278,626,False
Economic,economic,82,654,260,556,342,False
Economic,budget,75,466,246,752,321,False
Economic,tax,148,698,152,557,300,False
Economic,land,32,153,198,224,230,False
Economic,pay,40,579,177,616,217,False
Economic,environmental,33,113,109,184,142,False
Economic,housing,28,122,60,99,88,False
Economic,buy,23,250,48,165,71,False
Economic,bank,14,101,46,121,60,False
Economic,property,17,86,38,142,55,False
Economic,taxpayer,17,95,34,165,51,False
Economic,purchase,13,71,27,95,40,False
Economic,sale,21,59,15,55,36,False
Economic,finance,10,74,25,49,35,False
Economic,corporation,9,29,25,49,34,False
Economic,cash,7,34,7,36,14,False
Exclusion,allow,53,454,186,468,239,False
Exclusion,ban,16,76,56,89,72,False
Exclusion,screening,14,43,57,89,71,False
Exclusion,apply,14,115,52,109,66,False
Exclusion,deny,11,73,42,78,53,False
Exclusion,permit,10,61,34,80,44,False
Exclusion,prohibition,15,13,28,42,43,False
Exclusion,reject,8,43,33,83,41,False
Exclusion,deported,9,64,19,73,28,False
Exclusion,screen,8,13,19,23,27,False
Exclusion,shut,7,104,20,162,27,False
Exclusion,license,18,11,9,48,27,False
Exclusion,deportation,6,79,15,67,21,False
Exclusion,verification,6,43,13,59,19,False
Family,family,47,853,193,500,240,False
Family,child,41,399,129,307,170,False
Family,marriage,21,34,40,39,61,False
Family,wife,12,96,33,73,45,False
Family,son,10,139,23,32,33,False
Family,adult,14,46,15,37,29,False
Family,parent,10,61,18,14,28,False
Family,husband,6,68,21,38,27,False
Labor,employment,8,127,46,105,54,False
Labor,hire,13,74,31,117,44,False
Labor,worker,9,144,32,97,41,False
Labor,compete,11,69,27,55,38,False
Labor,employee,16,62,17,59,33,False
Labor,workforce,9,108,16,77,25,False
Legality,law,196,2017,756,2092,952,False
Legality,illegal,124,743,526,1392,650,False
Legality,right,109,1233,504,1102,613,False
Legality,legal,52,531,236,578,288,False
Legality,permanent,20,164,92,147,112,False
Legality,evidence,17,132,72,172,89,False
Legality,visa,29,208,50,346,79,False
Legality,hearing,16,168,56,192,72,False
Legality,amnesty,7,309,60,270,67,False
Legality,unauthorized,15,38,26,76,41,False
Migration,immigration,93,1101,375,1983,468,False
Migration,come,97,1150,340,1159,437,False
Migration,pass,53,532,149,532,202,False
Migration,move,47,439,128,356,175,False
Migration,coming,38,280,112,451,150,False
Migration,passage,29,97,104,153,133,False
Migration,port,20,131,66,70,86,False
Migration,travel,13,128,72,148,85,False
Migration,return,25,115,59,188,84,False
Migration,enter,17,53,57,115,74,False
Migration,refugee,13,138,57,166,70,False
Migration,leave,12,161,54,154,66,False
Migration,passenger,21,23,40,47,61,False
Migration,entry,13,42,40,86,53,False
Migration,cross,9,49,43,73,52,False
Migration,immigrant,15,214,35,258,50,False
Sympathetic,help,113,1002,327,889,440,False
Sympathetic,hope,48,628,258,496,306,False
Sympathetic,assistance,38,250,181,307,219,False
Sympathetic,aid,13,128,121,160,134,False
Sympathetic,concern,17,169,64,164,81,False
Sympathetic,deserve,17,136,62,178,79,False
Sympathetic,relief,22,124,57,206,79,False
Sympathetic,humanitarian,14,160,56,185,70,False
Sympathetic,struggle,15,55,54,65,69,False
Sympathetic,asylum,16,38,51,81,67,False
Sympathetic,suffering,6,78,50,98,56,False
Sympathetic,refuge,26,26,26,44,52,False
Sympathetic,persecution,7,28,45,31,52,False
Sympathetic,assist,12,50,40,64,52,False
Sympathetic,hopeful,10,40,23,43,33,False
Threat,terrorist,59,276,184,524,243,False
Threat,cost,58,426,140,364,198,False
Threat,dangerous,24,220,83,227,107,False
Threat,enemy,13,37,95,66,103,False
Threat,soviet,14,46,59,72,73,False
Threat,danger,14,70,30,80,44,False
Threat,threaten,7,41,22,52,29,False
Water,fill,6,63,13,40,19,False
