label,cov_type,n_obs,n_treat,n_ctrl,coef,se,ci_lo,ci_hi,p,sig
speaker_pooled_HC2,HC2,162,25,56,0.005802,0.002494,0.000913,0.010691,0.02,**
speaker_pooled_HC3,HC3,162,25,56,0.005802,0.002527,0.000848,0.010755,0.0217,**
Beneficial,HC3,142,24,47,5e-06,0.0059,-0.011559,0.011569,0.9994,ns
Crime,HC3,64,8,24,-0.005351,0.013718,-0.032238,0.021536,0.6965,ns
Culture,HC3,142,24,47,-0.013733,0.005381,-0.02428,-0.003186,0.0107,**
Economic,HC3,160,25,55,-0.002122,0.00398,-0.009923,0.005678,0.5939,ns
Exclusion,HC3,148,24,50,0.022364,0.006591,0.009447,0.035282,0.0007,***
Family,HC3,150,25,50,0.010333,0.004685,0.001151,0.019516,0.0274,**
Labor,HC3,116,20,38,-0.005433,0.008336,-0.021771,0.010905,0.5145,ns
Legality,HC3,160,25,55,0.007067,0.005012,-0.002757,0.01689,0.1586,ns
Migration,HC3,160,25,55,0.00624,0.005566,-0.004668,0.017149,0.2622,ns
Sympathetic,HC3,160,25,55,0.004702,0.004819,-0.004743,0.014146,0.3292,ns
Threat,HC3,148,24,50,0.001386,0.002955,-0.004406,0.007179,0.639,ns
