scope,observed_did,perm_mean,perm_sd,p_ri,n_perm,n_treated,n_control
pooled,0.00778,1.6e-05,0.003882,0.0437,9999,25,56
Beneficial,-0.001382,1.5e-05,0.007774,0.8576,9999,24,47
Crime,0.062231,-0.001586,0.032121,0.0431,9999,8,24
Culture,0.003114,-6.6e-05,0.00656,0.6306,9999,24,47
Economic,-1.5e-05,-3e-05,0.006132,0.9968,9999,25,55
Exclusion,0.023832,-0.000121,0.009195,0.0084,9999,24,50
Family,0.008055,-7.8e-05,0.008342,0.34,9999,25,50
Labor,-0.009481,9e-06,0.017265,0.6027,9999,20,38
Legality,0.010583,6.8e-05,0.010755,0.3495,9999,25,55
Migration,0.006959,-1.6e-05,0.010735,0.525,9999,25,55
Sympathetic,0.003381,-2.3e-05,0.006891,0.6265,9999,25,55
Threat,-0.00594,0.000186,0.005917,0.323,9999,24,50
