label,coef,se,ci_lo,ci_hi,p,n,sig,dropped_bio,dropped_speaker
loo_B000575,0.006049,0.003068,3.6e-05,0.012062,0.0486,15637,**,B000575,"BLUNT, ROY"
loo_B000944,0.006037,0.003068,2.3e-05,0.012051,0.0491,15460,**,B000944,"BROWN, SHERROD"
loo_B001135,0.005504,0.002934,-0.000246,0.011255,0.0607,15657,*,B001135,"BURR, RICHARD"
loo_B001230,0.006619,0.002962,0.000814,0.012424,0.0254,15712,**,B001230,"BALDWIN, TAMMY"
loo_B001236,0.005359,0.002939,-0.000401,0.011119,0.0682,15762,*,B001236,"BOOZMAN, JOHN"
loo_C000141,0.004838,0.002807,-0.000664,0.010339,0.0848,15380,*,C000141,"CARDIN, BENJAMIN"
loo_C000286,0.005972,0.002948,0.000194,0.01175,0.0428,15541,**,C000286,"CHAMBLISS, SAXBY"
loo_C001047,0.006216,0.002995,0.000347,0.012086,0.0379,15713,**,C001047,"CAPITO, SHELLEY"
loo_C001075,0.005994,0.002978,0.000156,0.011832,0.0442,15879,**,C001075,"CASSIDY, BILL"
loo_C001095,0.005995,0.002957,0.0002,0.01179,0.0426,15905,**,C001095,"COTTON, TOM"
loo_D000595,0.005632,0.002955,-0.000159,0.011423,0.0566,15702,*,D000595,"DEMINT, JIM"
loo_D000607,0.006352,0.00296,0.00055,0.012153,0.0319,15857,**,D000607,"DONNELLY, JOE"
loo_D000618,0.005983,0.002953,0.000196,0.011771,0.0427,15907,**,D000618,"DAINES, STEVE"
loo_G000359,0.005973,0.002946,0.0002,0.011746,0.0426,15532,**,G000359,"GRAHAM, LINDSEY"
loo_G000555,0.00597,0.002951,0.000186,0.011755,0.0431,15809,**,G000555,"GILLIBRAND, KIRSTEN"
loo_G000562,0.006132,0.00298,0.000291,0.011973,0.0396,15868,**,G000562,"GARDNER, CORY"
loo_H001041,0.005951,0.002974,0.000121,0.01178,0.0454,15784,**,H001041,"HELLER, DEAN"
loo_H001042,0.005913,0.002997,3.9e-05,0.011787,0.0485,15803,**,H001042,"HIRONO, MAZIE"
loo_H001046,0.00598,0.002956,0.000186,0.011774,0.0431,15881,**,H001046,"HEINRICH, MARTIN"
loo_K000360,0.006785,0.002927,0.001048,0.012523,0.0205,15730,**,K000360,"KIRK, MARK"
loo_L000575,0.006132,0.002982,0.000288,0.011976,0.0397,15867,**,L000575,"LANKFORD, JAMES"
loo_M000133,0.006143,0.003053,0.000159,0.012128,0.0442,15604,**,M000133,"MARKEY, EDWARD"
loo_M000639,0.005505,0.002971,-0.000319,0.011328,0.0639,15409,*,M000639,"MENENDEZ, ROBERT"
loo_M000934,0.005687,0.003035,-0.000261,0.011636,0.0609,15669,*,M000934,"MORAN, JERRY"
loo_M001169,0.006452,0.002974,0.000624,0.012281,0.03,15757,**,M001169,"MURPHY, CHRISTOPHER"
loo_P000595,0.005671,0.00297,-0.00015,0.011491,0.0562,15849,*,P000595,"PETERS, GARY"
loo_S001078,0.005964,0.002951,0.00018,0.011748,0.0433,15821,**,S001078,"SUNUNU, JOHN"
loo_T000250,0.005985,0.002951,0.000201,0.011768,0.0425,15530,**,T000250,"THUNE, JOHN"
loo_T000461,0.005911,0.003004,2.3e-05,0.011799,0.0491,15741,**,T000461,"TOOMEY, PATRICK"
loo_U000038,0.006671,0.003004,0.000783,0.012559,0.0264,15580,**,U000038,"UDALL, MARK"
loo_U000039,0.006285,0.003064,0.000279,0.01229,0.0403,15570,**,U000039,"UDALL, TOM"
loo_V000127,0.00576,0.002955,-3.2e-05,0.011551,0.0513,15544,*,V000127,"VITTER, DAVID"
loo_W000437,0.006009,0.002998,0.000133,0.011884,0.045,15750,**,W000437,"WICKER, ROGER"
