scope,observed_did,perm_mean,perm_sd,p_ri,n_perm,n_treated,n_control,p_fdr,fdr_sig,sig_fdr
Beneficial,-0.001382,1.5e-05,0.007774,0.8576,9999,24,47,0.9434,False,ns
Crime,0.062231,-0.001586,0.032121,0.0431,9999,8,24,0.237,False,ns
Culture,0.003114,-6.6e-05,0.00656,0.6306,9999,24,47,0.7707,False,ns
Economic,-1.5e-05,-3e-05,0.006132,0.9968,9999,25,55,0.9968,False,ns
Exclusion,0.023832,-0.000121,0.009195,0.0084,9999,24,50,0.0924,False,*
Family,0.008055,-7.8e-05,0.008342,0.34,9999,25,50,0.7689,False,ns
Labor,-0.009481,9e-06,0.017265,0.6027,9999,20,38,0.7707,False,ns
Legality,0.010583,6.8e-05,0.010755,0.3495,9999,25,55,0.7689,False,ns
Migration,0.006959,-1.6e-05,0.010735,0.525,9999,25,55,0.7707,False,ns
Sympathetic,0.003381,-2.3e-05,0.006891,0.6265,9999,25,55,0.7707,False,ns
Threat,-0.00594,0.000186,0.005917,0.323,9999,24,50,0.7689,False,ns
